player,player_id,position,team_name,player_game_count,avg_depth_of_target,avoided_tackles,caught_percent,contested_catch_rate,contested_receptions,contested_targets,declined_penalties,drop_rate,drops,first_downs,franchise_id,fumbles,grades_hands_drop,grades_hands_fumble,grades_offense,grades_pass_block,grades_pass_route,inline_rate,inline_snaps,interceptions,longest,pass_block_rate,pass_blocks,pass_plays,penalties,receptions,route_rate,routes,slot_rate,slot_snaps,targeted_qb_rating,targets,touchdowns,wide_rate,wide_snaps,yards,yards_after_catch,yards_after_catch_per_reception,yards_per_reception,yprr
Patrick Ricard,48862,FB,BLT,14,0.8,0,100.0,100.0,1,1,1,0.0,0,2,3,0,41.6,67.0,88.6,80.9,51.9,6.5,2,0,6,32.3,10,31,1,4,54.8,17,0.0,0,118.8,4,2,0.0,0,12,9,2.3,3.0,0.71
Darius Powe,11251,WR,NYG,1,9.0,0,50.0,0.0,0,1,0,0.0,0,0,21,0,68.3,64.0,52.6,,52.1,0.0,0,1,8,0.0,0,27,0,2,96.3,26,0.0,0,17.7,4,0,100.0,27,13,13,6.5,6.5,0.5
Jaelen Strong,9503,WR,JAX,2,10.8,0,75.0,0.0,0,1,0,0.0,0,3,15,0,70.5,65.8,64.9,,62.7,0.0,0,0,19,0.0,0,46,0,3,89.1,41,4.3,2,143.8,4,1,95.7,44,38,14,4.7,12.7,0.93
Kevin White,9440,WR,CHI,1,4.0,1,50.0,0.0,0,1,0,33.3,1,0,6,0,68.3,64.0,55.9,,53.2,0.0,0,0,6,0.0,0,27,0,2,88.9,24,14.8,4,56.3,4,0,85.2,23,6,2,1.0,3.0,0.25
Sean McGrath,7515,TE,LAC,14,7.0,0,100.0,100.0,1,1,0,0.0,0,3,27,0,72.1,67.0,72.6,75.5,63.8,82.9,63,0,23,42.1,32,76,1,4,53.9,41,13.2,10,114.6,4,0,2.6,2,46,18,4.5,11.5,1.12
Terrance West,8729,HB,BLT,5,1.0,0,50.0,,0,0,0,33.3,1,2,3,0,36.8,38.2,51.1,80.1,62.8,0.0,0,1,15,21.7,5,23,0,2,73.9,17,4.3,1,28.1,4,0,4.3,1,23,21,10.5,11.5,1.35
Josh Ferguson,10907,HB,IND,3,2.3,0,75.0,,0,0,0,25.0,1,0,14,0,36.2,73.4,49.9,54.0,38.4,0.0,0,0,8,17.2,5,29,0,3,82.8,24,3.4,1,81.3,4,0,0.0,0,16,23,7.7,5.3,0.67
Cody Core,10833,WR,CIN,7,31.0,0,0.0,0.0,0,1,0,,0,0,7,0,,,49.0,,49.3,0.0,0,0,0,0.0,0,44,0,0,97.7,43,6.8,3,39.6,4,0,93.2,41,0,0,,,0.0
Chris Manhertz,10211,TE,CAR,15,8.0,0,50.0,,0,0,1,33.3,1,1,5,0,29.9,64.0,48.8,57.6,45.8,50.6,44,0,11,42.5,37,87,3,2,55.2,48,14.9,13,61.5,4,0,13.8,12,17,11,5.5,8.5,0.35
Jehu Chesson,11894,WR,KC,4,2.5,0,50.0,0.0,0,1,0,0.0,0,2,16,0,68.3,70.2,59.3,,54.9,2.1,1,0,10,0.0,0,47,0,2,97.9,46,38.3,18,62.5,4,0,59.6,28,18,15,7.5,9.0,0.39
Jeff Cumberland,5861,TE,LAC,7,0.7,1,66.7,,0,0,0,33.3,1,0,27,0,29.9,64.0,47.0,77.5,40.3,68.8,33,0,2,25.0,12,48,1,2,70.8,34,22.9,11,70.1,3,0,6.3,3,2,4,2.0,1.0,0.06
Harry Douglas,4398,WR,TEN,2,9.0,1,33.3,0.0,0,2,0,0.0,0,0,31,0,64.7,61.2,44.5,21.1,53.9,0.0,0,1,8,7.7,1,13,0,1,76.9,10,84.6,11,2.8,3,0,15.4,2,8,12,12.0,8.0,0.8
Quan Bray,9700,WR,IND,6,10.0,0,100.0,,0,0,0,0.0,0,2,14,0,70.5,44.0,60.5,,61.0,0.0,0,0,22,0.0,0,35,0,3,94.3,33,60.0,21,118.8,3,0,40.0,14,39,9,3.0,13.0,1.18
Andre Roberts,5612,WR,ATL,8,8.3,0,33.3,0.0,0,2,0,0.0,0,1,2,0,64.7,36.7,62.7,,59.5,0.0,0,0,12,0.0,0,21,0,1,100.0,21,28.6,6,46.5,3,0,71.4,15,12,7,7.0,12.0,0.57
Michael Burton,9601,FB,CHI,16,0.3,0,66.7,,0,0,0,0.0,0,0,6,0,68.3,70.0,53.0,89.3,54.6,3.1,2,0,8,29.7,19,64,2,2,62.5,40,3.1,2,70.1,3,0,4.7,3,8,9,4.5,4.0,0.2
De'Veon Smith,45671,HB,MIA,1,2.7,0,100.0,,0,0,0,0.0,0,1,17,0,70.5,65.8,66.9,,78.2,0.0,0,0,13,0.0,0,6,0,3,100.0,6,0.0,0,104.2,3,0,0.0,0,27,19,6.3,9.0,4.5
Terron Ward,9778,HB,ATL,4,-1.3,1,100.0,,0,0,0,0.0,0,1,2,0,70.5,29.6,65.6,83.1,62.0,0.0,0,0,11,15.0,6,40,0,3,80.0,32,2.5,1,86.1,3,0,12.5,5,14,18,6.0,4.7,0.44
Marquis Bundy,11429,WR,NYG,1,6.3,0,0.0,0.0,0,3,0,,0,0,21,0,,,54.0,,50.2,0.0,0,0,0,0.0,0,28,0,0,89.3,25,3.6,1,39.6,3,0,96.4,27,0,0,,,0.0
Darrius Heyward-Bey,4930,WR,PIT,12,19.0,0,66.7,,0,0,0,0.0,0,1,25,0,68.3,67.8,67.5,,59.9,0.0,0,0,44,0.0,0,35,0,2,97.1,34,22.9,8,109.7,3,0,68.6,24,47,22,11.0,23.5,1.38
Fitzgerald Toussaint,9244,HB,PIT,4,-3.0,2,66.7,50.0,1,2,0,0.0,0,1,25,0,68.3,75.9,59.0,44.3,58.7,0.0,0,0,7,30.8,8,26,0,2,69.2,18,7.7,2,70.1,3,0,0.0,0,9,12,6.0,4.5,0.5
Devante Mays,11994,HB,GB,2,-2.7,1,100.0,,0,0,0,0.0,0,0,12,0,70.5,11.0,27.9,68.5,66.2,0.0,0,0,1,10.0,1,10,0,3,90.0,9,0.0,0,79.2,3,0,0.0,0,0,8,2.7,0.0,0.0
