Player,School,College,Ht,Wt,40yd,Vertical,Bench,Broad Jump,3Cone,Shuttle
Joel Bitonio,Nevada,College Stats,6-4,302.0,4.92,32.0,22.0,114.0,7.37,4.44
Russell Bodine,North Carolina,College Stats,6-3,310.0,5.18,29.0,42.0,109.0,8.26,4.66
Conor Boffeli,Iowa,,6-4,298.0,5.3,25.0,21.0,101.0,7.44,4.61
Dakota Dozier,Furman,,6-4,313.0,5.42,24.0,23.0,101.0,8.14,4.89
Kadeem Edwards,Tennessee State,,6-4,313.0,5.25,27.0,26.0,99.0,7.95,4.82
Zach Fulton,Tennessee,College Stats,6-5,316.0,5.16,24.5,25.0,98.0,7.87,5.16
Ryan Groy,Wisconsin,College Stats,6-5,316.0,5.19,26.5,26.0,108.0,7.49,4.47
Jon Halapio,Florida,College Stats,6-3,323.0,5.34,21.5,,100.0,8.26,4.83
Gabe Jackson,Mississippi State,College Stats,6-3,336.0,5.34,29.0,30.0,108.0,8.25,4.78
Charles Leno,Boise State,College Stats,6-4,303.0,5.25,29.0,21.0,108.0,7.57,4.4
Brandon Linder,Miami (FL),College Stats,6-6,311.0,5.35,26.5,30.0,100.0,,
Spencer Long,Nebraska,College Stats,6-5,320.0,5.16,,,,,
