player,player_id,player_game_count,block_percent,declined_penalties,franchise_id,grades_offense,grades_pass_block,grades_run_block,hits_allowed,hurries_allowed,non_spike_pass_block,non_spike_pass_block_percentage,pass_block_percent,pbe,penalties,pressures_allowed,sacks_allowed,snap_counts_block,snap_counts_ce,snap_counts_lg,snap_counts_lt,snap_counts_offense,snap_counts_pass_block,snap_counts_pass_play,snap_counts_rg,snap_counts_rt,snap_counts_run_block,snap_counts_te
Carl Nicks,4478,18,100.0,0,20,83.0,84.9,76.5,4,10,806,100.0,100.0,98.9,2,16,2,1320,0,1320,0,1320,845,845,0,0,475,0
Brian Waters,575,19,100.0,1,19,82.0,86.4,74.1,3,11,757,100.0,100.0,98.8,6,16,2,1310,0,0,0,1310,794,794,1310,0,516,0
Jahri Evans,3053,18,100.0,1,20,76.5,68.9,77.5,2,32,798,100.0,100.0,97.5,6,37,3,1283,0,0,0,1283,836,836,1283,0,447,0
Chris Snee,1755,19,100.0,4,21,64.6,61.9,64.8,7,27,750,100.0,100.0,96.9,10,40,6,1277,0,0,0,1277,786,786,1277,0,491,0
Wade Smith,1393,18,100.0,0,13,70.2,68.1,67.4,4,20,563,100.0,100.0,97.3,2,27,3,1203,0,1203,0,1203,592,592,0,0,611,0
Zane Beadles,5570,18,100.0,0,10,64.1,55.4,68.6,5,36,560,100.0,100.0,95.1,7,48,7,1195,0,1195,0,1195,601,601,0,0,594,0
Justin Blalock,3655,17,100.0,2,2,71.5,79.3,62.5,4,17,673,100.0,99.9,98.3,3,22,1,1191,0,1190,1,1191,723,724,0,0,468,0
Marshal Yanda,3702,18,100.0,0,3,84.7,85.9,80.0,2,8,646,100.0,100.0,98.6,3,14,4,1172,0,0,0,1172,681,681,1172,0,491,0
Logan Mankins,2249,18,100.0,0,19,75.9,68.3,81.0,5,18,674,100.0,100.0,97.6,7,28,5,1162,0,1146,16,1162,710,710,0,0,452,0
Rob Sims,3073,17,100.0,0,11,73.0,81.6,65.0,9,11,758,100.0,100.0,98.5,3,21,1,1157,0,1157,0,1157,796,796,0,0,361,0
Stephen Peterman,1804,17,100.0,1,11,71.3,76.5,65.6,6,13,758,100.0,100.0,98.5,5,21,2,1157,0,0,0,1157,796,796,1157,0,361,0
Mike Iupati,5542,18,100.0,0,28,79.6,68.1,79.7,5,14,593,100.0,100.0,97.7,4,23,4,1147,0,1142,0,1147,626,626,5,0,521,0
Nate Livings,3400,17,100.0,0,7,67.7,70.8,65.3,6,17,630,100.0,100.0,97.7,7,26,3,1135,0,1135,0,1135,672,672,0,0,463,0
T.J. Lang,5032,17,100.0,0,12,73.6,83.0,71.0,1,11,691,100.0,100.0,98.8,7,14,2,1109,0,996,0,1109,740,740,0,113,369,0
Matt Slauson,5117,16,100.0,0,22,68.9,67.6,67.9,7,13,602,100.0,100.0,97.7,3,24,4,1088,23,1065,0,1088,647,647,0,0,441,0
Chris Chester,3001,16,100.0,0,32,63.3,70.4,55.1,5,23,641,100.0,100.0,97.7,1,29,1,1081,0,0,0,1081,680,680,1081,0,401,0
Brandon Moore,1284,16,100.0,0,22,75.7,80.7,71.4,0,14,602,100.0,100.0,98.8,5,14,0,1078,0,0,0,1078,647,647,1078,0,431,0
Stefen Wisniewski,6200,16,100.0,0,23,71.9,73.9,68.8,5,18,561,100.0,100.0,97.6,5,25,2,1073,167,906,0,1073,603,603,0,0,470,0
Cooper Carlisle,658,16,100.0,0,23,65.9,63.5,63.5,5,23,561,100.0,100.0,97.1,3,30,2,1072,0,0,0,1072,603,603,1071,0,469,1
Jason Pinkston,6302,16,100.0,2,8,61.1,65.6,58.2,10,24,651,100.0,100.0,97.2,4,35,1,1063,0,1063,0,1063,689,689,0,0,374,0
Harvey Dahl,2553,16,100.0,1,26,74.0,77.7,72.3,5,15,615,100.0,100.0,98.2,7,21,1,1055,0,0,0,1055,649,649,703,352,406,0
Jon Asamoah,5593,16,100.0,1,16,74.0,84.6,65.9,2,8,551,100.0,100.0,98.7,4,12,2,1051,0,0,0,1051,579,579,1051,0,472,0
Geoff Hangartner,2386,16,100.0,0,5,70.3,67.0,69.0,5,21,599,100.0,100.0,97.5,2,28,2,1046,7,0,0,1046,636,636,1039,0,410,0
Andy Levitre,4974,16,100.0,3,4,81.4,81.2,74.9,1,11,625,100.0,100.0,98.2,5,17,5,1043,68,784,191,1043,666,666,0,0,377,0
Uche Nwaneri,3765,16,100.0,2,15,73.9,67.2,72.1,4,13,537,100.0,100.0,98.0,4,19,2,1041,0,0,0,1041,564,564,1041,0,477,0
